year,amount
1994,537
1995,794
1996,1087
1997,1334
1998,1453
1999,1506
2000,1509
2001,1487
2002,1457
2003,1430
2004,1413
2005,1394
2006,1409
2007,1459
2008,1521
2009,1596
2010,1754
2011,2016
2012,2420
2013,2898
2014,3734
2015,4504
2016,5234
